Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1661.6931960784314
FDW14,OUT017,1412.1562050420166
NCN55,OUT010,584.7577647727271
FDQ58,OUT017,2222.6712822580644
FDY38,OUT027,6280.890880000001
FDH56,OUT046,1922.1493817142853
FDL48,OUT018,713.858654545455
FDC48,OUT027,2517.8820884848487
FDN33,OUT045,1559.342975268818
FDA36,OUT017,2778.9892780000014
FDT44,OUT017,1922.1493817142853
FDQ56,OUT045,1412.1562050420166
NCC54,OUT019,584.7577647727271
FDU11,OUT049,2149.648248214285
DRL59,OUT013,713.858654545455
FDM24,OUT049,2490.5268867052023
FDI57,OUT045,2863.700914285714
DRC12,OUT018,3059.6163888111887
NCM42,OUT027,3242.0620715328478
FDA46,OUT010,482.6995426229507
FDA31,OUT013,2851.63169587629
NCJ31,OUT035,3735.2457029411753
FDG52,OUT046,798.2176035398229
NCL19,OUT019,281.48208181818165
FDS10,OUT035,3387.2047231707293
FDX22,OUT010,584.7577647727271
NCF19,OUT035,798.2176035398229
NCE06,OUT046,2222.6712822580644
DRC27,OUT046,3855.1205479768796
FDE21,OUT035,1922.1493817142853
NCR42,OUT019,92.67548155339804
FDX51,OUT018,3059.6163888111887
NCR06,OUT018,507.0464036697249
FDU31,OUT027,5329.314724444443
FDU59,OUT017,2611.4595423423416
FDR03,OUT027,5329.314724444443
FDS49,OUT027,2517.8820884848487
FDD48,OUT010,281.48208181818165
NCF18,OUT017,3216.7914510638307
NCD43,OUT027,2517.8820884848487
NCD54,OUT018,1752.25244
FDY19,OUT010,281.48208181818165
NCY54,OUT017,2851.63169587629
NCL19,OUT018,2232.8470218487396
FDP23,OUT010,584.7577647727271
FDC26,OUT013,1548.6861522123895
FDR14,OUT010,165.91858165137612
NCS41,OUT035,3387.2047231707293
FDF41,OUT035,3735.2457029411753
FDU34,OUT046,2149.648248214285
DRH11,OUT046,842.2509434554978
FDM03,OUT013,1548.6861522123895
FDS31,OUT017,3387.2047231707293
FDJ20,OUT017,2149.648248214285
FDV44,OUT027,5329.314724444443
FDG02,OUT049,2778.9892780000014
FDA09,OUT013,2851.63169587629
FDT04,OUT013,507.0464036697249
FDL58,OUT019,584.7577647727271
FDE52,OUT045,1353.0650169014089
FDW12,OUT035,2490.5268867052023
FDL51,OUT017,3855.1205479768796
NCY42,OUT027,3242.0620715328478
FDR07,OUT017,1559.342975268818
FDN40,OUT045,2490.5268867052023
FDB35,OUT027,2517.8820884848487
FDA22,OUT017,2611.4595423423416
NCL06,OUT046,4034.300306896551
FDI35,OUT013,3387.2047231707293
NCW42,OUT045,3855.1205479768796
NCX06,OUT049,2568.33283364486
FDC37,OUT027,2517.8820884848487
FDZ14,OUT018,1752.25244
DRG49,OUT049,3855.1205479768796
NCG06,OUT045,4034.300306896551
DRC36,OUT045,2851.63169587629
FDV21,OUT019,281.48208181818165
FDB53,OUT046,2660.9504030303024
DRP47,OUT019,584.7577647727271
FDA14,OUT013,2660.9504030303024
DRC24,OUT035,2660.9504030303024
FDW21,OUT018,1372.6884907407411
NCH29,OUT046,1559.342975268818
FDU58,OUT013,3059.6163888111887
FDY27,OUT017,2851.63169587629
FDV56,OUT035,1784.4287381818183
FDT59,OUT046,3662.4659300000003
FDB23,OUT046,3662.4659300000003
FDR49,OUT045,798.2176035398229
FDB03,OUT010,584.7577647727271
FDN39,OUT045,2453.747700699301
FDX02,OUT027,5329.314724444443
FDQ16,OUT027,2517.8820884848487
FDU35,OUT018,1372.6884907407411
NCT29,OUT013,2004.8618317073174
FDZ27,OUT046,798.2176035398229
FDN57,OUT017,2309.200798
FDA03,OUT018,2232.8470218487396
FDZ36,OUT045,3387.2047231707293
NCU05,OUT013,1240.3673076086943
FDT39,OUT018,2232.8470218487396
FDK60,OUT017,1559.342975268818
FDZ25,OUT017,2894.2207107142876
FDG12,OUT046,2243.098194594594
DRB01,OUT019,482.6995426229507
NCC43,OUT027,6280.890880000001
FDX13,OUT019,584.7577647727271
FDM22,OUT049,842.2509434554978
FDJ03,OUT027,1378.2631852760737
FDU14,OUT018,3327.9525829268273
FDB33,OUT010,346.8972837209304
FDP27,OUT046,3216.7914510638307
FDO38,OUT010,165.91858165137612
FDE28,OUT027,6280.890880000001
FDO27,OUT035,1559.342975268818
DRL23,OUT027,2517.8820884848487
FDS28,OUT046,842.2509434554978
FDX24,OUT013,1460.7407669724766
FDZ02,OUT035,1559.342975268818
FDL46,OUT045,1827.8328454545444
FDS60,OUT027,5329.314724444443
NCO06,OUT017,583.8145788617885
FDO16,OUT035,1412.1562050420166
FDC60,OUT049,1412.1562050420166
FDA48,OUT018,3327.9525829268273
FDZ36,OUT027,5329.314724444443
FDK27,OUT045,1827.8328454545444
FDW23,OUT018,507.0464036697249
FDM14,OUT018,1372.6884907407411
FDM14,OUT013,1661.6931960784314
FDW60,OUT018,2851.63169587629
FDE21,OUT013,1922.1493817142853
NCM42,OUT035,1879.05405
FDY59,OUT010,219.21852093023256
DRI49,OUT049,1240.3673076086943
FDT28,OUT019,346.8972837209304
FDQ22,OUT018,507.0464036697249
FDR60,OUT049,1240.3673076086943
FDC50,OUT019,219.21852093023256
FDV24,OUT013,2490.5268867052023
DRF48,OUT010,482.6995426229507
FDQ47,OUT046,583.8145788617885
DRN36,OUT049,1559.342975268818
NCY06,OUT035,2004.8618317073174
FDE52,OUT035,1353.0650169014089
NCB54,OUT045,1827.8328454545444
NCF31,OUT035,2490.5268867052023
FDJ08,OUT027,5329.314724444443
NCC07,OUT017,1661.6931960784314
NCD19,OUT027,1378.2631852760737
FDL46,OUT049,2004.8618317073174
FDM20,OUT045,4332.779102857145
NCI06,OUT010,425.9355914529916
DRM11,OUT035,4433.304032653061
NCH07,OUT018,2232.8470218487396
FDS23,OUT013,2149.648248214285
FDO49,OUT018,713.858654545455
FDS35,OUT049,1103.1862133333336
DRK39,OUT045,1412.1562050420166
DRI39,OUT049,842.2509434554978
FDV04,OUT017,2222.6712822580644
NCN14,OUT035,3387.2047231707293
FDH08,OUT013,3662.4659300000003
FDS20,OUT046,3387.2047231707293
FDV40,OUT049,1103.1862133333336
FDZ48,OUT010,281.48208181818165
FDS24,OUT027,2517.8820884848487
FDK44,OUT049,2568.33283364486
FDS48,OUT045,2660.9504030303024
FDK26,OUT010,482.6995426229507
FDD23,OUT045,3059.6163888111887
NCH54,OUT017,2894.2207107142876
NCP14,OUT010,219.21852093023256
FDM60,OUT010,92.67548155339804
FDV24,OUT017,2490.5268867052023
FDH08,OUT018,3327.9525829268273
FDS12,OUT027,3242.0620715328478
FDR39,OUT027,5329.314724444443
FDP12,OUT027,1378.2631852760737
DRF60,OUT027,6280.890880000001
FDC09,OUT035,1784.4287381818183
FDF50,OUT018,3216.7914510638307
FDG28,OUT035,3855.1205479768796
NCE19,OUT017,842.2509434554978
NCM53,OUT010,281.48208181818165
NCN18,OUT049,1548.6861522123895
FDF32,OUT035,2863.700914285714
FDF11,OUT013,3662.4659300000003
DRI59,OUT049,4332.779102857145
NCG54,OUT035,2894.2207107142876
FDM44,OUT046,1661.6931960784314
FDT57,OUT018,3327.9525829268273
FDV24,OUT046,2490.5268867052023
FDI50,OUT019,584.7577647727271
FDS09,OUT035,713.858654545455
NCC31,OUT027,4117.3177126315795
FDQ07,OUT019,584.7577647727271
FDC22,OUT017,3216.7914510638307
FDZ56,OUT046,2894.2207107142876
FDZ40,OUT019,165.91858165137612
FDS46,OUT027,3242.0620715328478
DRD24,OUT045,1827.8328454545444
FDV45,OUT017,3059.6163888111887
FDL26,OUT045,2894.2207107142876
FDA56,OUT018,1752.25244
FDN27,OUT046,1922.1493817142853
FDM20,OUT049,4332.779102857145
FDO16,OUT017,1412.1562050420166
FDL03,OUT035,3059.6163888111887
FDE58,OUT046,1922.1493817142853
FDI02,OUT027,3242.0620715328478
NCC55,OUT019,92.67548155339804
FDR03,OUT018,3327.9525829268273
FDB14,OUT017,1460.7407669724766
FDR45,OUT013,4332.779102857145
NCN07,OUT017,2243.098194594594
FDM51,OUT019,219.21852093023256
FDT52,OUT027,6280.890880000001
FDL26,OUT046,2660.9504030303024
NCZ42,OUT046,3662.4659300000003
DRI47,OUT019,346.8972837209304
FDW40,OUT013,2309.200798
FDN34,OUT046,2894.2207107142876
FDS01,OUT035,2851.63169587629
NCG55,OUT045,1827.8328454545444
FDC11,OUT035,1353.0650169014089
FDX35,OUT018,3327.9525829268273
NCB06,OUT046,2894.2207107142876
FDR09,OUT019,584.7577647727271
FDC53,OUT017,1559.342975268818
FDY45,OUT013,4433.304032653061
FDA22,OUT010,425.9355914529916
FDE02,OUT035,1559.342975268818
FDW21,OUT045,1879.05405
FDV34,OUT046,1103.1862133333336
FDS59,OUT049,1784.4287381818183
NCW17,OUT017,2243.098194594594
NCK54,OUT046,1922.1493817142853
FDG17,OUT019,584.7577647727271
FDG35,OUT017,3104.189829906542
FDD08,OUT010,92.67548155339804
NCO07,OUT017,3662.4659300000003
